experiment_id,dataset_size,extreme_value_ratio,repetition,final_bias,training_iterations,convergence_status,execution_time,dataset_mean,extreme_value_count,iqr_threshold,statistical_validation_passed,final_weight_0,training_final_loss,training_final_mae,training_initial_loss,training_loss_improvement,training_initial_weight,training_final_weight,training_weight_change,training_weight_std
exp_50_50_01,50,0.5,1,0.6234079003334045,50,converged,3.0764217376708984,4.9993257788048675,19,11.84847706565706,True,2.0490920543670654,0.05102447420358658,0.18860791623592377,111.89860534667969,111.8475808724761,2.038639545440674,2.0490920543670654,0.010452508926391602,0.012979619204998016
exp_50_50_02,50,0.5,2,0.6208348274230957,50,converged,3.0660104751586914,4.999999999999999,16,10.839070388037248,False,2.0534937381744385,0.045645952224731445,0.17152710258960724,115.17857360839844,115.1329276561737,1.9445542097091675,2.0534937381744385,0.108939528465271,0.02187245711684227
exp_50_50_03,50,0.5,3,0.6257664561271667,50,converged,3.089063882827759,5.0,17,11.618205854047755,True,2.051729440689087,0.04987471178174019,0.1858481615781784,113.56934356689453,113.51946885511279,1.9886877536773682,2.051729440689087,0.06304168701171875,0.017885172739624977
exp_50_50_04,50,0.5,4,0.6343342661857605,50,converged,3.1821963787078857,5.0,15,10.928434974058442,True,2.0517547130584717,0.04487340897321701,0.18203148245811462,127.1349868774414,127.09011346846819,1.9642277956008911,2.0517547130584717,0.08752691745758057,0.02013789676129818
exp_50_50_05,50,0.5,5,0.6631600260734558,50,converged,3.007232189178467,4.999999999999999,17,11.418484212437983,True,2.045180320739746,0.03964480012655258,0.1674828678369522,140.49856567382812,140.45892087370157,1.9851047992706299,2.045180320739746,0.06007552146911621,0.01759626716375351
exp_50_50_06,50,0.5,6,0.6181864142417908,50,converged,2.9756903648376465,4.999586033191639,14,11.122014795425105,True,2.0518198013305664,0.048056308180093765,0.18880712985992432,111.63957977294922,111.59152346476912,1.980690836906433,2.0518198013305664,0.0711289644241333,0.017415374517440796
exp_50_50_07,50,0.5,7,0.6233996748924255,50,converged,3.0401949882507324,4.993116764071511,15,11.30841181194425,True,2.0531232357025146,0.05037849396467209,0.19588612020015717,121.70870971679688,121.6583312228322,1.978824257850647,2.0531232357025146,0.07429897785186768,0.018736787140369415
exp_50_50_08,50,0.5,8,0.6247212886810303,50,converged,3.1241567134857178,4.999999999999999,15,11.710768671301,True,2.046231508255005,0.05014091357588768,0.18532642722129822,100.15355682373047,100.10341591015458,2.0694186687469482,2.046231508255005,-0.02318716049194336,0.011849530972540379
exp_50_50_09,50,0.5,9,0.652420699596405,50,converged,2.9955434799194336,4.954329590935347,19,12.42483208379553,True,2.042323589324951,0.04607829079031944,0.18221692740917206,103.85235595703125,103.80627766624093,2.0128049850463867,2.042323589324951,0.029518604278564453,0.014659600332379341
exp_50_50_10,50,0.5,10,0.6368889808654785,50,converged,3.155892848968506,4.983019786097762,14,11.740100486460431,True,2.0475215911865234,0.046861015260219574,0.18434062600135803,111.76406860351562,111.7172075882554,1.9888969659805298,2.0475215911865234,0.05862462520599365,0.016878163442015648
exp_50_75_01,50,0.75,1,0.6706076860427856,50,converged,3.0163371562957764,4.995243937709796,19,13.450089406885375,True,2.0396766662597656,0.04467703029513359,0.17588825523853302,131.80136108398438,131.75668405368924,2.032512903213501,2.0396766662597656,0.0071637630462646484,0.013973159715533257
exp_50_75_02,50,0.75,2,0.6818752288818359,50,converged,3.191380739212036,4.983048443305556,23,13.325407381293854,True,2.038508176803589,0.04439651966094971,0.1740838587284088,143.63453674316406,143.5901402235031,2.0686066150665283,2.038508176803589,-0.030098438262939453,0.014506105333566666
exp_50_75_03,50,0.75,3,0.6813785433769226,50,converged,2.966216564178467,4.994318762669371,22,13.42870214989534,True,2.038435697555542,0.04348583519458771,0.17090308666229248,138.34912109375,138.3056352585554,2.065500497817993,2.038435697555542,-0.027064800262451172,0.014380308799445629
exp_50_75_04,50,0.75,4,0.657113790512085,50,converged,3.0204670429229736,4.999999999999999,20,12.763992151322391,True,2.0419368743896484,0.046694692224264145,0.17276333272457123,121.64804077148438,121.60134607926011,2.031628131866455,2.0419368743896484,0.01030874252319336,0.013805119320750237
exp_50_75_05,50,0.75,5,0.6477214694023132,50,converged,3.087322950363159,4.998836872016811,20,13.245913637145078,True,2.0408518314361572,0.051988281309604645,0.18228457868099213,110.1878890991211,110.13590081781149,2.1379001140594482,2.0408518314361572,-0.09704828262329102,0.016615964472293854
exp_50_75_06,50,0.75,6,0.6326849460601807,50,converged,2.990629196166992,4.999999999999999,19,11.979714549463868,False,2.0461859703063965,0.05054332688450813,0.17406103014945984,111.88922882080078,111.83868549391627,2.0590925216674805,2.0461859703063965,-0.012906551361083984,0.012451129034161568
exp_50_75_07,50,0.75,7,0.6761921048164368,50,converged,3.0156917572021484,4.9904414988345565,22,13.296245695611177,True,2.0407874584198,0.04560670256614685,0.17787988483905792,128.883544921875,128.83793821930885,2.1567325592041016,2.0407874584198,-0.11594510078430176,0.02035617083311081
exp_50_75_08,50,0.75,8,0.6817963123321533,50,converged,3.007734775543213,5.000000000000001,20,12.54054551622699,True,2.0399935245513916,0.04019680619239807,0.16316217184066772,142.73593139648438,142.69573459029198,2.0711328983306885,2.0399935245513916,-0.031139373779296875,0.014535179361701012
exp_50_75_09,50,0.75,9,0.661729633808136,50,converged,3.004211664199829,5.0,20,12.654907381930869,True,2.039318084716797,0.04620131105184555,0.16994708776474,115.15933227539062,115.11313096433878,2.0512912273406982,2.039318084716797,-0.011973142623901367,0.012752954848110676
exp_50_75_10,50,0.75,10,0.6413565874099731,50,converged,3.070432424545288,5.000000000000001,20,12.706420459362036,True,2.0409388542175293,0.0514267235994339,0.1812397837638855,103.71916198730469,103.66773526370525,2.155386447906494,2.0409388542175293,-0.11444759368896484,0.017928391695022583
exp_50_100_01,50,1.0,1,0.6748933792114258,50,converged,3.011866569519043,5.000000000000001,25,13.576224990860835,True,2.0358502864837646,0.049076858907938004,0.1650993674993515,114.567626953125,114.51855009421706,2.0896756649017334,2.0358502864837646,-0.05382537841796875,0.014403938315808773
exp_50_100_02,50,1.0,2,0.687588632106781,50,converged,3.0250396728515625,5.0,25,13.543246271370197,True,2.0345327854156494,0.04498596489429474,0.15827064216136932,134.8863067626953,134.84132079780102,2.068652629852295,2.0345327854156494,-0.03411984443664551,0.01368094701319933
exp_50_100_03,50,1.0,3,0.6730645895004272,50,converged,3.1131627559661865,5.000000000000001,25,13.45699171629591,True,2.035191297531128,0.04947357997298241,0.1648682802915573,116.55691528320312,116.50744170323014,2.134488105773926,2.035191297531128,-0.09929680824279785,0.017061620950698853
exp_50_100_04,50,1.0,4,0.6743766069412231,50,converged,3.285130023956299,5.0,25,13.26982040915291,True,2.036098003387451,0.04817432910203934,0.1640617698431015,118.11781311035156,118.06963878124952,2.086440086364746,2.036098003387451,-0.05034208297729492,0.014030395075678825
exp_50_100_05,50,1.0,5,0.6810895800590515,50,converged,3.031525135040283,5.0,25,13.559413299201074,True,2.035492420196533,0.04686679318547249,0.16196434199810028,122.80084991455078,122.75398312136531,2.0719187259674072,2.035492420196533,-0.03642630577087402,0.013955754227936268
exp_50_100_06,50,1.0,6,0.6812165379524231,50,converged,3.1532516479492188,4.999516628723826,25,13.253986918070687,True,2.035959005355835,0.046245694160461426,0.1619618833065033,126.91686248779297,126.87061679363251,2.066784620285034,2.035959005355835,-0.03082561492919922,0.013880535028874874
exp_50_100_07,50,1.0,7,0.6914935111999512,50,converged,3.0903594493865967,5.000000000000001,25,13.537200534185788,True,2.0349624156951904,0.044158048927783966,0.15876489877700806,141.91824340820312,141.87408535927534,2.0788395404815674,2.0349624156951904,-0.04387712478637695,0.014561735093593597
